*Header begin
Subject ID = zp_6-20_18-7_radial.log
edf_name = C:\Documents and Settings\hulusi\My Documents\MotionCoherence\data\radial\zp_6-20_18-7_radial.log
Group = WS
Eye To Screen = 57
Screen Dims = 4.268750e+0124
Radius of the Big Circle = 10
Radius of the Small Circle = 1.500000e+00
Density of dots = 4
Amount of dots = 1257
Radius of a dot = 2.000000e-01
Velocity = 8
Pixel Depth= 32
Dots Colour= 200
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
TrialNo	Direction	Cohe	isCorrect	Pressed	ReactionTime	Jitter	
141		-1		6.500000e-01	1		2		8.651664e-01		1.330832e+00
142		1		1.500000e-01	1		8		6.793917e-01		1.927253e+00
143		1		5.000000e-01	1		8		8.096498e-01		1.950983e+00
144		-1		3.000000e-01	1		2		9.119296e-01		1.810796e+00
145		-1		1.500000e-01	-2		space		2		1.675820e+00
146		-1		6.500000e-01	1		2		6.923570e-01		1.655197e+00
147		-1		5.000000e-01	1		2		8.446054e-01		1.678677e+00
148		-1		5.000000e-02	-2		space		2		1.518880e+00
149		-1		3.000000e-01	-2		space		2		1.971898e+00
150		1		8.000000e-01	-2		space		2		1.471817e+00
151		-1		3.000000e-01	1		2		9.455392e-01		1.882423e+00
152		1		5.000000e-02	1		8		7.857862e-01		1.721674e+00
153		1		3.000000e-01	1		8		7.459965e-01		1.359412e+00
154		1		8.000000e-01	1		8		8.402096e-01		1.814127e+00
155		-1		5.000000e-02	1		2		7.324632e-01		1.414178e+00
156		1		6.500000e-01	1		8		8.046263e-01		1.525897e+00
157		-1		8.000000e-01	1		2		7.909293e-01		1.229076e+00
158		-1		8.000000e-01	1		2		6.191362e-01		1.896479e+00
159		1		5.000000e-01	1		8		6.713599e-01		1.217069e+00
160		1		1.500000e-01	1		8		8.296021e-01		1.886231e+00
161		-1		5.000000e-01	1		2		8.638570e-01		1.588889e+00
162		-1		3.000000e-01	-2		space		2		1.979475e+00
163		-1		1.500000e-01	1		2		8.322949e-01		1.356868e+00
164		-1		1.500000e-01	-2		space		2		1.923053e+00
165		-1		5.000000e-02	0		8		7.967845e-01		1.600348e+00
166		1		6.500000e-01	1		8		8.090129e-01		1.618868e+00
167		1		6.500000e-01	1		8		7.292418e-01		1.281301e+00
168		1		5.000000e-02	-2		space		2		1.423165e+00
169		1		1.500000e-01	-2		space		2		1.723689e+00
170		1		8.000000e-01	1		8		8.379453e-01		1.950722e+00
